policy,Group,Code,Question,quant_indicator,qual_answer,english_version,Answer3,Comment on coding
GB_6,ServicesToScientificCommunity,PastoralWork,"conference organisation, participation in PhD committees or other community services",1,"applicants are required to demonstrate their wider contribution to the life and work of the university through academic leadership, including both formal and informal roles such as mentoring, staff development, team and project leadership, and taking responsibility for key activities such as REF submissions, change projects etc. Contribution to the visibility, reputation and profile of the university beyond academia – for example through engagement with society, business and government via press/broadcast and online media, and through contributions to public and policy events and exhibitions. Their contribution to the development of new Learning and Teaching capacity in the university through support and development of others including: mentoring, leadership and management of individuals and teams.","applicants are required to demonstrate their wider contribution to the life and work of the university through academic leadership, including both formal and informal roles such as mentoring, staff development, team and project leadership, and taking responsibility for key activities such as REF submissions, change projects etc. Contribution to the visibility, reputation and profile of the university beyond academia – for example through engagement with society, business and government via press/broadcast and online media, and through contributions to public and policy events and exhibitions. Their contribution to the development of new Learning and Teaching capacity in the university through support and development of others including: mentoring, leadership and management of individuals and teams.",NA,NA
GB_6,Patents,Patents,patenting discoveries/inventions,0,NA,NA,NA,NA
GB_7a,Metadata,PolicyDate,When did the policy come into effect?,0,NA,NA,NA,NA
GB_7a,Metadata,PositionEvaluated,"Which position level is evaluated in the policy, e.g. tenure track, professor, lecturer, senior lecturer, various (different positions at once),...",academic,NA,NA,NA,NA
GB_7a,Metadata,PolicyType,"Describe the type of policy in one sentence (specify if it's for evaluation, promotion, applies to both hiring and promotion simultaneously etc).",promotion,NA,NA,NA,NA
GB_7a,MoRRIIndicators,GenderEquality (GE1),gender equality (or equivalent process),0,NA,NA,NA,NA
GB_7a,MoRRIIndicators,GenderReviewers,gender of reviewers considered,0,NA,NA,NA,NA
GB_7a,Other,GenderBalanceReviewers (GE9),gender balance for reviewers/committees,0,NA,NA,NA,NA
GB_7a,MoRRIIndicators,CitizenScience (SL3),citizen science activities,0,NA,NA,NA,NA
GB_7a,MoRRIIndicators,PublicEngagement (PE1),impact type 1) public engagement,1,You have contributed to public or education engagement activities within your academic area.,You have contributed to public or education engagement activities within your academic area.,NA,NA
GB_7a,MoRRIIndicators,PolicyMakers (PE2),impact type 2) interactions with policy makers,0,NA,NA,NA,NA
GB_7a,OtherIndicators,Industry,impact type 3) interactions with industry,0,NA,NA,NA,NA
GB_7a,MoRRIIndicators,OpenAccess (OA1),open access publishing,0,NA,NA,NA,NA
GB_7a,MoRRIIndicators,Data (OA2),data publication and/or sharing,0,NA,NA,NA,NA
GB_7a,OtherIndicators,Software,contributions to scientific software,0,NA,NA,NA,NA
GB_7a,Bibliometrics,JournalMetrics,"journal based metrics, e.g. impact factor, journal ranking quartiles",0,NA,NA,NA,NA
GB_7a,Bibliometrics,Citations,"citations (person-based metrics: h-index, number of citations etc)",0,NA,NA,NA,NA
GB_7a,Bibliometrics,NumPublications,number of publications and/or publication list (quantity),0,NA,NA,NA,NA
GB_7a,Bibliometrics,PublicationQuality,"an attemp to review quality instead of quantity of publications, i.e. a request for key publications, writing samples, etc.",1,You have successfully undertaken a programme of original research and have a record of disseminating your research in quality publications or other media,You have successfully undertaken a programme of original research and have a record of disseminating your research in quality publications or other media,NA,NA
GB_7a,ServicesToScientificCommunity,PeerReview,peer review and editor activities,0,NA,NA,NA,NA
GB_7a,ServicesToScientificCommunity,PastoralWork,"conference organisation, participation in PhD committees or other community services",1,"You are part of the wider academic or professional community, making a contribution o groups and networks to facilitate discussion or application of research developments. You contribute to effective PhD student supervision, where appropriate.","You are part of the wider academic or professional community, making a contribution o groups and networks to facilitate discussion or application of research developments. You contribute to effective PhD student supervision, where appropriate.",NA,NA
GB_7a,Patents,Patents,patenting discoveries/inventions,0,NA,NA,NA,NA
GB_7b,Metadata,PolicyDate,When did the policy come into effect?,0,NA,NA,NA,NA
GB_7b,Metadata,PositionEvaluated,"Which position level is evaluated in the policy, e.g. tenure track, professor, lecturer, senior lecturer, various (different positions at once),...",academic,NA,NA,NA,NA
GB_7b,Metadata,PolicyType,"Describe the type of policy in one sentence (specify if it's for evaluation, promotion, applies to both hiring and promotion simultaneously etc).",promotion,NA,NA,NA,NA
GB_7b,MoRRIIndicators,GenderEquality (GE1),gender equality (or equivalent process),0,NA,NA,NA,NA
GB_7b,MoRRIIndicators,GenderReviewers,gender of reviewers considered,0,NA,NA,NA,NA
GB_7b,Other,GenderBalanceReviewers (GE9),gender balance for reviewers/committees,0,NA,NA,NA,NA
GB_7b,MoRRIIndicators,CitizenScience (SL3),citizen science activities,0,NA,NA,NA,NA
GB_7b,MoRRIIndicators,PublicEngagement (PE1),impact type 1) public engagement,1,You have contributed to public or education engagement activities within your academic area.,You have contributed to public or education engagement activities within your academic area.,NA,NA
GB_7b,MoRRIIndicators,PolicyMakers (PE2),impact type 2) interactions with policy makers,1,"You deliver external collaborative research, innovation or knowledge exchange through your work with organisations, industry, government, public and third sectors or other equivalent groups or networks.","You deliver external collaborative research, innovation or knowledge exchange through your work with organisations, industry, government, public and third sectors or other equivalent groups or networks.",NA,NA
GB_7b,OtherIndicators,Industry,impact type 3) interactions with industry,1,"You deliver external collaborative research, innovation or knowledge exchange through your work with organisations, industry, government, public and third sectors or other equivalent groups or networks.","You deliver external collaborative research, innovation or knowledge exchange through your work with organisations, industry, government, public and third sectors or other equivalent groups or networks.",NA,NA
GB_7b,MoRRIIndicators,OpenAccess (OA1),open access publishing,0,NA,NA,NA,NA
GB_7b,MoRRIIndicators,Data (OA2),data publication and/or sharing,0,NA,NA,NA,NA
GB_7b,OtherIndicators,Software,contributions to scientific software,0,NA,NA,NA,NA
GB_7b,Bibliometrics,JournalMetrics,"journal based metrics, e.g. impact factor, journal ranking quartiles",0,NA,NA,NA,NA
GB_7b,Bibliometrics,Citations,"citations (person-based metrics: h-index, number of citations etc)",0,NA,NA,NA,NA
GB_7b,Bibliometrics,NumPublications,number of publications and/or publication list (quantity),0,NA,NA,NA,NA
GB_7b,Bibliometrics,PublicationQuality,"an attemp to review quality instead of quantity of publications, i.e. a request for key publications, writing samples, etc.",1,You have a sustained record of academically excellent research outputs as evidenced within an international context.,You have a sustained record of academically excellent research outputs as evidenced within an international context.,NA,NA
GB_7b,ServicesToScientificCommunity,PeerReview,peer review and editor activities,0,NA,NA,NA,NA
GB_7b,ServicesToScientificCommunity,PastoralWork,"conference organisation, participation in PhD committees or other community services",1,"You play an active role in the wider academic or professional community, making a contribution to internal/external networks to facilitate the development of the discipline. You carry out effective PhD student supervision, where appropriate.","You play an active role in the wider academic or professional community, making a contribution to internal/external networks to facilitate the development of the discipline. You carry out effective PhD student supervision, where appropriate.",NA,NA
GB_7b,Patents,Patents,patenting discoveries/inventions,0,NA,NA,NA,NA
GB_7c,Metadata,PolicyDate,When did the policy come into effect?,0,NA,NA,NA,NA
GB_7c,Metadata,PositionEvaluated,"Which position level is evaluated in the policy, e.g. tenure track, professor, lecturer, senior lecturer, various (different positions at once),...",academic,NA,NA,NA,NA
GB_7c,Metadata,PolicyType,"Describe the type of policy in one sentence (specify if it's for evaluation, promotion, applies to both hiring and promotion simultaneously etc).",promotion,NA,NA,NA,NA
GB_7c,MoRRIIndicators,GenderEquality (GE1),gender equality (or equivalent process),0,NA,NA,NA,NA
GB_7c,MoRRIIndicators,GenderReviewers,gender of reviewers considered,0,NA,NA,NA,NA
GB_7c,Other,GenderBalanceReviewers (GE9),gender balance for reviewers/committees,0,NA,NA,NA,NA
GB_7c,MoRRIIndicators,CitizenScience (SL3),citizen science activities,0,NA,NA,NA,NA
GB_7c,MoRRIIndicators,PublicEngagement (PE1),impact type 1) public engagement,1,You have successfully led public or education engagement activities in your academic area,You have successfully led public or education engagement activities in your academic area,NA,NA
GB_7c,MoRRIIndicators,PolicyMakers (PE2),impact type 2) interactions with policy makers,1,"You have initiated and led external collaborative research, innovation or knowledge exchange through your work with organisations, industry, government, public and third sectors or other equivalent groups or networks","You have initiated and led external collaborative research, innovation or knowledge exchange through your work with organisations, industry, government, public and third sectors or other equivalent groups or networks",NA,NA
GB_7c,OtherIndicators,Industry,impact type 3) interactions with industry,1,"You have initiated and led external collaborative research, innovation or knowledge exchange through your work with organisations, industry, government, public and third sectors or other equivalent groups or networks","You have initiated and led external collaborative research, innovation or knowledge exchange through your work with organisations, industry, government, public and third sectors or other equivalent groups or networks",NA,NA
GB_7c,MoRRIIndicators,OpenAccess (OA1),open access publishing,0,NA,NA,NA,NA
GB_7c,MoRRIIndicators,Data (OA2),data publication and/or sharing,0,NA,NA,NA,NA
GB_7c,OtherIndicators,Software,contributions to scientific software,0,NA,NA,NA,NA
GB_7c,Bibliometrics,JournalMetrics,"journal based metrics, e.g. impact factor, journal ranking quartiles",0,NA,NA,NA,NA
GB_7c,Bibliometrics,Citations,"citations (person-based metrics: h-index, number of citations etc)",0,NA,NA,NA,NA
GB_7c,Bibliometrics,NumPublications,number of publications and/or publication list (quantity),0,NA,NA,NA,NA
GB_7c,Bibliometrics,PublicationQuality,"an attemp to review quality instead of quantity of publications, i.e. a request for key publications, writing samples, etc.",1,You have a distinguished record of academically excellent research outputs as evidenced within an international context.,You have a distinguished record of academically excellent research outputs as evidenced within an international context.,NA,NA
GB_7c,ServicesToScientificCommunity,PeerReview,peer review and editor activities,0,NA,NA,NA,NA
GB_7c,ServicesToScientificCommunity,PastoralWork,"conference organisation, participation in PhD committees or other community services",1,You play a significant role in the wider academic or professional community and have influence over the strategic direction of future research. You have a sustained record of effective PhD supervision.,You play a significant role in the wider academic or professional community and have influence over the strategic direction of future research. You have a sustained record of effective PhD supervision.,NA,NA
GB_7c,Patents,Patents,patenting discoveries/inventions,0,NA,NA,NA,NA
GB_8,Metadata,PolicyDate,When did the policy come into effect?,0,NA,NA,NA,NA
GB_8,Metadata,PositionEvaluated,"Which position level is evaluated in the policy, e.g. tenure track, professor, lecturer, senior lecturer, various (different positions at once),...",academic,NA,NA,NA,NA
GB_8,Metadata,PolicyType,"Describe the type of policy in one sentence (specify if it's for evaluation, promotion, applies to both hiring and promotion simultaneously etc).",promotion,NA,NA,NA,NA
GB_8,MoRRIIndicators,GenderEquality (GE1),gender equality (or equivalent process),0,NA,NA,NA,NA
GB_8,MoRRIIndicators,GenderReviewers,gender of reviewers considered,0,NA,NA,NA,NA
GB_8,Other,GenderBalanceReviewers (GE9),gender balance for reviewers/committees,0,NA,NA,NA,NA
GB_8,MoRRIIndicators,CitizenScience (SL3),citizen science activities,0,NA,NA,NA,NA
GB_8,MoRRIIndicators,PublicEngagement (PE1),impact type 1) public engagement,1,"Use research to engage in a broad range of activities that
influence society, economy, industry, government or
public policy;","Use research to engage in a broad range of activities that
influence society, economy, industry, government or
public policy;",NA,NA
GB_8,MoRRIIndicators,PolicyMakers (PE2),impact type 2) interactions with policy makers,1,"Use research to engage in a broad range of activities that
influence society, economy, industry, government or
public policy;","Use research to engage in a broad range of activities that
influence society, economy, industry, government or
public policy;",NA,NA
GB_8,OtherIndicators,Industry,impact type 3) interactions with industry,1,"Use research to engage in a broad range of activities that
influence society, economy, industry, government or
public policy;","Use research to engage in a broad range of activities that
influence society, economy, industry, government or
public policy;",NA,NA
GB_8,MoRRIIndicators,OpenAccess (OA1),open access publishing,0,NA,NA,NA,NA
GB_8,MoRRIIndicators,Data (OA2),data publication and/or sharing,0,NA,NA,NA,NA
GB_8,OtherIndicators,Software,contributions to scientific software,0,NA,NA,NA,NA
GB_8,Bibliometrics,JournalMetrics,"journal based metrics, e.g. impact factor, journal ranking quartiles",0,NA,NA,NA,NA
GB_8,Bibliometrics,Citations,"citations (person-based metrics: h-index, number of citations etc)",1,"Shape their discipline via e.g. numbers of citations and/
or editor of international journal;","Shape their discipline via e.g. numbers of citations and/
or editor of international journal;",NA,NA
GB_8,Bibliometrics,NumPublications,number of publications and/or publication list (quantity),0,NA,NA,NA,NA
GB_8,Bibliometrics,PublicationQuality,"an attemp to review quality instead of quantity of publications, i.e. a request for key publications, writing samples, etc.",1,"Publish original research of a quality that is
internationally excellent in renowned, relevant, specialist
and generalist outlets/media in a manner appropriate to
the research, academic discipline, University strategies
and funding requirements; Contribute to a research group’s aims to successfully recruit and develop PhD students in line with the School/
Institute and University strategies; Demonstrate evidence of a sustained output of high quality research publications or other recognised forms
of output, judged to be at international level, for example
journal articles, monographs, case studies, edited
volumes, textbooks, conference papers and works of art; Publication in influential journals, or other appropriate influential outputs;","Publish original research of a quality that is
internationally excellent in renowned, relevant, specialist
and generalist outlets/media in a manner appropriate to
the research, academic discipline, University strategies
and funding requirements; Contribute to a research group’s aims to successfully recruit and develop PhD students in line with the School/
Institute and University strategies; Demonstrate evidence of a sustained output of high quality research publications or other recognised forms
of output, judged to be at international level, for example
journal articles, monographs, case studies, edited
volumes, textbooks, conference papers and works of art; Publication in influential journals, or other appropriate influential outputs;",NA,NA
GB_8,ServicesToScientificCommunity,PeerReview,peer review and editor activities,0,NA,NA,NA,NA
GB_8,ServicesToScientificCommunity,PastoralWork,"conference organisation, participation in PhD committees or other community services",1,"Engage with the research communicate at an appropriate
level, e.g. via conferences, advisory or editorial bodies,
research funders, referring and research reviews;","Engage with the research communicate at an appropriate
level, e.g. via conferences, advisory or editorial bodies,
research funders, referring and research reviews;",NA,NA
GB_8,Patents,Patents,patenting discoveries/inventions,0,NA,NA,NA,NA
GB_9a,Metadata,PolicyDate,When did the policy come into effect?,0,NA,NA,NA,NA
GB_9a,Metadata,PositionEvaluated,"Which position level is evaluated in the policy, e.g. tenure track, professor, lecturer, senior lecturer, various (different positions at once),...",research fellow,NA,NA,NA,NA
GB_9a,Metadata,PolicyType,"Describe the type of policy in one sentence (specify if it's for evaluation, promotion, applies to both hiring and promotion simultaneously etc).",promotion,NA,NA,NA,NA
GB_9a,MoRRIIndicators,GenderEquality (GE1),gender equality (or equivalent process),0,NA,NA,NA,NA
GB_9a,MoRRIIndicators,GenderReviewers,gender of reviewers considered,0,NA,NA,NA,NA
GB_9a,Other,GenderBalanceReviewers (GE9),gender balance for reviewers/committees,0,NA,NA,NA,NA
GB_9a,MoRRIIndicators,CitizenScience (SL3),citizen science activities,0,NA,NA,NA,NA
GB_9a,MoRRIIndicators,PublicEngagement (PE1),impact type 1) public engagement,1,Undertaking meaningful public engagement activity,Undertaking meaningful public engagement activity,NA,NA
GB_9a,MoRRIIndicators,PolicyMakers (PE2),impact type 2) interactions with policy makers,1,Evidence of two-way engagement with policy makers in own area of research.,Evidence of two-way engagement with policy makers in own area of research.,NA,NA
GB_9a,OtherIndicators,Industry,impact type 3) interactions with industry,0,NA,NA,NA,NA
GB_9a,MoRRIIndicators,OpenAccess (OA1),open access publishing,0,NA,NA,NA,NA
GB_9a,MoRRIIndicators,Data (OA2),data publication and/or sharing,0,NA,NA,NA,NA
GB_9a,OtherIndicators,Software,contributions to scientific software,0,NA,NA,NA,NA
GB_9a,Bibliometrics,JournalMetrics,"journal based metrics, e.g. impact factor, journal ranking quartiles",0,NA,NA,NA,NA
GB_9a,Bibliometrics,Citations,"citations (person-based metrics: h-index, number of citations etc)",0,NA,NA,NA,NA
GB_9a,Bibliometrics,NumPublications,number of publications and/or publication list (quantity),0,NA,NA,NA,NA
GB_9a,Bibliometrics,PublicationQuality,"an attemp to review quality instead of quantity of publications, i.e. a request for key publications, writing samples, etc.",1,"Publish regularly, with at least one item in a rolling three-year period being a major contribution to a high quality publication or output (in the form of peer reviewed articles, performances, portfolios etc. – appropriate to the discipline) that is judged through peer review as being internationally excellent or better in terms of originality, significance and rigour. Where appropriate, a substantive monograph may be double weighted.","Publish regularly, with at least one item in a rolling three-year period being a major contribution to a high quality publication or output (in the form of peer reviewed articles, performances, portfolios etc. – appropriate to the discipline) that is judged through peer review as being internationally excellent or better in terms of originality, significance and rigour. Where appropriate, a substantive monograph may be double weighted.",NA,NA
GB_9a,ServicesToScientificCommunity,PeerReview,peer review and editor activities,0,NA,NA,NA,NA
GB_9a,ServicesToScientificCommunity,PastoralWork,"conference organisation, participation in PhD committees or other community services",1,Sharing research or scholarly activity with colleagues through research or teaching seminars.,Sharing research or scholarly activity with colleagues through research or teaching seminars.,NA,NA
GB_9a,Patents,Patents,patenting discoveries/inventions,1,Patent applications,Patent applications,NA,NA
GB_9b,Metadata,PolicyDate,When did the policy come into effect?,0,NA,NA,NA,NA
GB_9b,Metadata,PositionEvaluated,"Which position level is evaluated in the policy, e.g. tenure track, professor, lecturer, senior lecturer, various (different positions at once),...",senior research fellow,NA,NA,NA,NA
GB_9b,Metadata,PolicyType,"Describe the type of policy in one sentence (specify if it's for evaluation, promotion, applies to both hiring and promotion simultaneously etc).",promotion,NA,NA,NA,NA
GB_9b,MoRRIIndicators,GenderEquality (GE1),gender equality (or equivalent process),0,NA,NA,NA,NA
GB_9b,MoRRIIndicators,GenderReviewers,gender of reviewers considered,0,NA,NA,NA,NA
GB_9b,Other,GenderBalanceReviewers (GE9),gender balance for reviewers/committees,0,NA,NA,NA,NA
GB_9b,MoRRIIndicators,CitizenScience (SL3),citizen science activities,0,NA,NA,NA,NA
GB_9b,MoRRIIndicators,PublicEngagement (PE1),impact type 1) public engagement,1,Undertaking meaningful public engagement activity.,Undertaking meaningful public engagement activity.,NA,NA
GB_9b,MoRRIIndicators,PolicyMakers (PE2),impact type 2) interactions with policy makers,1,Evidence of two-way engagement with policy makers in own area of research.,Evidence of two-way engagement with policy makers in own area of research.,NA,NA
GB_9b,OtherIndicators,Industry,impact type 3) interactions with industry,0,NA,NA,NA,NA
GB_9b,MoRRIIndicators,OpenAccess (OA1),open access publishing,0,NA,NA,NA,NA
GB_9b,MoRRIIndicators,Data (OA2),data publication and/or sharing,0,NA,NA,NA,NA
GB_9b,OtherIndicators,Software,contributions to scientific software,0,NA,NA,NA,NA
GB_9b,Bibliometrics,JournalMetrics,"journal based metrics, e.g. impact factor, journal ranking quartiles",0,NA,NA,NA,NA
GB_9b,Bibliometrics,Citations,"citations (person-based metrics: h-index, number of citations etc)",0,NA,NA,NA,NA
GB_9b,Bibliometrics,NumPublications,number of publications and/or publication list (quantity),0,NA,NA,NA,NA
GB_9b,Bibliometrics,PublicationQuality,"an attemp to review quality instead of quantity of publications, i.e. a request for key publications, writing samples, etc.",1,"Publish regularly, with at least one item in a rolling two-year period (in the form of peer reviewed articles, performances, portfolios etc. – appropriate to the discipline) that are judged through peer review as being internationally excellent or world leading in terms of originality, significance and rigour. Where appropriate, a substantive monograph may be double weighted.","Publish regularly, with at least one item in a rolling two-year period (in the form of peer reviewed articles, performances, portfolios etc. – appropriate to the discipline) that are judged through peer review as being internationally excellent or world leading in terms of originality, significance and rigour. Where appropriate, a substantive monograph may be double weighted.",NA,NA
GB_9b,ServicesToScientificCommunity,PeerReview,peer review and editor activities,0,NA,NA,NA,NA
GB_9b,ServicesToScientificCommunity,PastoralWork,"conference organisation, participation in PhD committees or other community services",1,"In addition, evidence the provision of high quality supervision with the aim of leading to completion an average of one externally funded PhD student every two years as Primary Supervisor (number may be increased or decreased dependent upon disciplinary norms).","In addition, evidence the provision of high quality supervision with the aim of leading to completion an average of one externally funded PhD student every two years as Primary Supervisor (number may be increased or decreased dependent upon disciplinary norms).",NA,NA
GB_9b,Patents,Patents,patenting discoveries/inventions,1,Patent applications,Patent applications,NA,NA
GB_9c,Metadata,PolicyDate,When did the policy come into effect?,0,NA,NA,NA,NA
GB_9c,Metadata,PositionEvaluated,"Which position level is evaluated in the policy, e.g. tenure track, professor, lecturer, senior lecturer, various (different positions at once),...",research professor - band 1,NA,NA,NA,NA
GB_9c,Metadata,PolicyType,"Describe the type of policy in one sentence (specify if it's for evaluation, promotion, applies to both hiring and promotion simultaneously etc).",promotion,NA,NA,NA,NA
GB_9c,MoRRIIndicators,GenderEquality (GE1),gender equality (or equivalent process),0,NA,NA,NA,NA
GB_9c,MoRRIIndicators,GenderReviewers,gender of reviewers considered,0,NA,NA,NA,NA
GB_9c,Other,GenderBalanceReviewers (GE9),gender balance for reviewers/committees,0,NA,NA,NA,NA
GB_9c,MoRRIIndicators,CitizenScience (SL3),citizen science activities,0,NA,NA,NA,NA
GB_9c,MoRRIIndicators,PublicEngagement (PE1),impact type 1) public engagement,1,Dissemination of public engagement practice through conference presentation with national or international recognition.,Dissemination of public engagement practice through conference presentation with national or international recognition.,NA,NA
GB_9c,MoRRIIndicators,PolicyMakers (PE2),impact type 2) interactions with policy makers,1,"Major contribution to the role of the University in its civic setting, including public engagement and knowledge transfer activities with demonstrable beneficial impacts outside the University.","Major contribution to the role of the University in its civic setting, including public engagement and knowledge transfer activities with demonstrable beneficial impacts outside the University.",NA,NA
GB_9c,OtherIndicators,Industry,impact type 3) interactions with industry,1,Engagement with national or international policy working groups.,Engagement with national or international policy working groups.,NA,NA
GB_9c,MoRRIIndicators,OpenAccess (OA1),open access publishing,0,NA,NA,NA,NA
GB_9c,MoRRIIndicators,Data (OA2),data publication and/or sharing,0,NA,NA,NA,NA
GB_9c,OtherIndicators,Software,contributions to scientific software,0,NA,NA,NA,NA
GB_9c,Bibliometrics,JournalMetrics,"journal based metrics, e.g. impact factor, journal ranking quartiles",0,NA,NA,NA,NA
GB_9c,Bibliometrics,Citations,"citations (person-based metrics: h-index, number of citations etc)",0,NA,NA,NA,NA
GB_9c,Bibliometrics,NumPublications,number of publications and/or publication list (quantity),0,NA,NA,NA,NA
GB_9c,Bibliometrics,PublicationQuality,"an attemp to review quality instead of quantity of publications, i.e. a request for key publications, writing samples, etc.",1,"Publish regularly with an average of at least one item per year in a rolling two-year period (in the form of peer reviewed articles, performances, portfolios etc. – appropriate to the discipline) that is judged through peer review as being internationally excellent or world leading in terms of originality, significance and rigour. Where appropriate, a substantive monograph may be double weighted.","Publish regularly with an average of at least one item per year in a rolling two-year period (in the form of peer reviewed articles, performances, portfolios etc. – appropriate to the discipline) that is judged through peer review as being internationally excellent or world leading in terms of originality, significance and rigour. Where appropriate, a substantive monograph may be double weighted.",NA,NA
GB_9c,ServicesToScientificCommunity,PeerReview,peer review and editor activities,0,NA,NA,NA,NA
GB_9c,ServicesToScientificCommunity,PastoralWork,"conference organisation, participation in PhD committees or other community services",1,"In addition, evidence the provision of high quality supervision with the aim of leading to completion an average of one externally funded PhD student every year as Primary Supervisor (number may be increased or decreased dependent upon disciplinary norms).","In addition, evidence the provision of high quality supervision with the aim of leading to completion an average of one externally funded PhD student every year as Primary Supervisor (number may be increased or decreased dependent upon disciplinary norms).",NA,NA
GB_9c,Patents,Patents,patenting discoveries/inventions,1,Patent applications.,Patent applications.,NA,NA
GB_9d,Metadata,PolicyDate,When did the policy come into effect?,NA,NA,NA,NA,NA
GB_9d,Metadata,PositionEvaluated,"Which position level is evaluated in the policy, e.g. tenure track, professor, lecturer, senior lecturer, various (different positions at once),...",Research Professor Band 2,NA,NA,NA,NA
GB_9d,Metadata,PolicyType,"Describe the type of policy in one sentence (specify if it's for evaluation, promotion, applies to both hiring and promotion simultaneously etc).",promotion,NA,NA,NA,NA
GB_9d,MoRRIIndicators,GenderEquality (GE1),gender equality (or equivalent process),0,NA,NA,NA,NA
GB_9d,MoRRIIndicators,GenderReviewers,gender of reviewers considered,0,NA,NA,NA,NA
GB_9d,Other,GenderBalanceReviewers (GE9),gender balance for reviewers/committees,0,NA,NA,NA,NA
GB_9d,MoRRIIndicators,CitizenScience (SL3),citizen science activities,0,NA,NA,NA,NA
GB_9d,MoRRIIndicators,PublicEngagement (PE1),impact type 1) public engagement,1,Dissemination of public engagement practice through conference presentation with national or international recognition.,Dissemination of public engagement practice through conference presentation with national or international recognition.,NA,NA
GB_9d,MoRRIIndicators,PolicyMakers (PE2),impact type 2) interactions with policy makers,1,"Major contribution to the role of the University in its civic setting, including public engagement and knowledge transfer activities with demonstrable beneficial impacts outside the University.","Major contribution to the role of the University in its civic setting, including public engagement and knowledge transfer activities with demonstrable beneficial impacts outside the University.",NA,NA
GB_9d,OtherIndicators,Industry,impact type 3) interactions with industry,1,Engagement with national or international policy working groups.,Engagement with national or international policy working groups.,NA,NA
GB_9d,MoRRIIndicators,OpenAccess (OA1),open access publishing,0,NA,NA,NA,NA
GB_9d,MoRRIIndicators,Data (OA2),data publication and/or sharing,0,NA,NA,NA,NA
GB_9d,OtherIndicators,Software,contributions to scientific software,0,NA,NA,NA,NA
GB_9d,Bibliometrics,JournalMetrics,"journal based metrics, e.g. impact factor, journal ranking quartiles",0,NA,NA,NA,NA
GB_9d,Bibliometrics,Citations,"citations (person-based metrics: h-index, number of citations etc)",0,NA,NA,NA,NA
GB_9d,Bibliometrics,NumPublications,number of publications and/or publication list (quantity),0,NA,NA,NA,NA
GB_9d,Bibliometrics,PublicationQuality,"an attemp to review quality instead of quantity of publications, i.e. a request for key publications, writing samples, etc.",1,"Publish regularly with an average of at least one item per year in a rolling two-year period (in the form of peer reviewed articles, performances, portfolios etc. – appropriate to the discipline) that is judged through peer review as being internationally excellent or world leading in terms of originality, significance and rigour. Where appropriate, a substantive monograph may be double weighted.","Publish regularly with an average of at least one item per year in a rolling two-year period (in the form of peer reviewed articles, performances, portfolios etc. – appropriate to the discipline) that is judged through peer review as being internationally excellent or world leading in terms of originality, significance and rigour. Where appropriate, a substantive monograph may be double weighted.",NA,NA
GB_9d,ServicesToScientificCommunity,PeerReview,peer review and editor activities,0,NA,NA,NA,NA
GB_9d,ServicesToScientificCommunity,PastoralWork,"conference organisation, participation in PhD committees or other community services",1,"In addition, evidence the provision of high quality supervision with the aim of leading to completion an average of one externally funded PhD student every year as Primary Supervisor (number may be increased or decreased dependent upon disciplinary norms).","In addition, evidence the provision of high quality supervision with the aim of leading to completion an average of one externally funded PhD student every year as Primary Supervisor (number may be increased or decreased dependent upon disciplinary norms).",NA,NA
GB_9d,Patents,Patents,patenting discoveries/inventions,1,Patent applications,Patent applications,NA,NA
GB_9e,Metadata,PolicyDate,When did the policy come into effect?,NA,NA,NA,NA,NA
GB_9e,Metadata,PositionEvaluated,"Which position level is evaluated in the policy, e.g. tenure track, professor, lecturer, senior lecturer, various (different positions at once),...",Research Professor Band 3,NA,NA,NA,NA
GB_9e,Metadata,PolicyType,"Describe the type of policy in one sentence (specify if it's for evaluation, promotion, applies to both hiring and promotion simultaneously etc).",promotion,NA,NA,NA,NA
GB_9e,MoRRIIndicators,GenderEquality (GE1),gender equality (or equivalent process),0,NA,NA,NA,NA
GB_9e,MoRRIIndicators,GenderReviewers,gender of reviewers considered,0,NA,NA,NA,NA
GB_9e,Other,GenderBalanceReviewers (GE9),gender balance for reviewers/committees,0,NA,NA,NA,NA
GB_9e,MoRRIIndicators,CitizenScience (SL3),citizen science activities,0,NA,NA,NA,NA
GB_9e,MoRRIIndicators,PublicEngagement (PE1),impact type 1) public engagement,1,Dissemination of public engagement practice through conference presentation with national or international recognition.,Dissemination of public engagement practice through conference presentation with national or international recognition.,NA,NA
GB_9e,MoRRIIndicators,PolicyMakers (PE2),impact type 2) interactions with policy makers,1,"Major contribution to the role of the University in its civic setting, including public engagement and knowledge transfer activities with demonstrable beneficial impacts outside the University.","Major contribution to the role of the University in its civic setting, including public engagement and knowledge transfer activities with demonstrable beneficial impacts outside the University.",NA,NA
GB_9e,OtherIndicators,Industry,impact type 3) interactions with industry,1,Engagement with national or international policy working groups.,Engagement with national or international policy working groups.,NA,NA
GB_9e,MoRRIIndicators,OpenAccess (OA1),open access publishing,0,NA,NA,NA,NA
GB_9e,MoRRIIndicators,Data (OA2),data publication and/or sharing,0,NA,NA,NA,NA
GB_9e,OtherIndicators,Software,contributions to scientific software,0,NA,NA,NA,NA
GB_9e,Bibliometrics,JournalMetrics,"journal based metrics, e.g. impact factor, journal ranking quartiles",0,NA,NA,NA,NA
GB_9e,Bibliometrics,Citations,"citations (person-based metrics: h-index, number of citations etc)",0,NA,NA,NA,NA
GB_9e,Bibliometrics,NumPublications,number of publications and/or publication list (quantity),0,NA,NA,NA,NA
